source_table,source_column,pdp_class,nullable
account_move,access_token,secret,
account_move,always_tax_exigible,internal,
account_move,amount_residual,internal,
account_move,amount_residual_signed,internal,
account_move,amount_tax,internal,
account_move,amount_tax_signed,internal,
account_move,amount_total,internal,
account_move,amount_total_in_currency_signed,internal,
account_move,amount_total_signed,internal,
account_move,amount_untaxed,internal,
account_move,amount_untaxed_in_currency_signed,internal,
account_move,amount_untaxed_signed,internal,
account_move,auto_post,internal,
account_move,auto_post_origin_id,internal,
account_move,auto_post_until,internal,
account_move,campaign_id,internal,
account_move,checked,internal,
account_move,commercial_partner_id,internal,
account_move,company_id,internal,
account_move,create_date,internal,
account_move,create_uid,internal,
account_move,currency_id,internal,
account_move,date,internal,
account_move,delivery_date,internal,
account_move,fiscal_position_id,internal,
account_move,id,internal,
account_move,inalterable_hash,secret,
account_move,incoterm_location,internal,
account_move,invoice_cash_rounding_id,internal,
account_move,invoice_currency_rate,internal,
account_move,invoice_date,internal,
account_move,invoice_date_due,internal,
account_move,invoice_incoterm_id,internal,
account_move,invoice_origin,internal,
account_move,invoice_partner_display_name,personal,
account_move,invoice_payment_term_id,internal,
account_move,invoice_source_email,personal,
account_move,invoice_user_id,internal,
account_move,is_manually_modified,internal,
account_move,is_move_sent,internal,
account_move,journal_id,internal,
account_move,l10n_id_coretax_add_info_07,internal,
account_move,l10n_id_coretax_add_info_08,internal,
account_move,l10n_id_coretax_custom_doc,internal,
account_move,l10n_id_coretax_custom_doc_month_year,internal,
account_move,l10n_id_coretax_document,internal,
account_move,l10n_id_coretax_facility_info_07,internal,
account_move,l10n_id_coretax_facility_info_08,internal,
account_move,l10n_id_kode_transaksi,internal,
account_move,made_sequence_gap,internal,
account_move,medium_id,internal,
account_move,message_main_attachment_id,internal,
account_move,move_type,internal,
account_move,name,internal,
account_move,narration,sensitive,true
account_move,operating_unit_id,internal,
account_move,origin_payment_id,internal,
account_move,partner_bank_id,internal,
account_move,partner_id,internal,
account_move,partner_shipping_id,internal,
account_move,payment_reference,internal,
account_move,payment_state,internal,
account_move,posted_before,internal,
account_move,preferred_payment_method_line_id,internal,
account_move,qr_code_method,internal,
account_move,quick_edit_total_amount,internal,
account_move,ref,internal,
account_move,reversed_entry_id,internal,
account_move,reversed_pos_order_id,internal,
account_move,secure_sequence_number,internal,
account_move,sending_data,internal,
account_move,sequence_number,internal,
account_move,sequence_prefix,internal,
